,LinkedIn,Uber,Facebook,Zenefit,Snapchat,Yahoo,Bloomberg,Palantir,Done
3,...,...,...,...,...,...,Yes,...,False
5,...,...,...,...,...,...,Yes,...,False
7,...,...,...,...,...,...,Yes,...,False
11,...,...,...,...,...,...,Yes,...,False
16,...,...,...,...,...,...,Yes,...,False
62,...,...,...,...,...,...,Yes,...,False
63,...,...,...,...,...,...,Yes,...,False
100,...,...,...,...,...,...,Yes,...,False
105,...,...,...,...,...,...,Yes,...,False
110,...,...,...,...,...,...,Yes,...,False
113,...,...,...,...,...,...,Yes,...,False
122,...,...,...,...,...,...,Yes,...,False
131,...,...,...,...,...,...,Yes,...,False
160,...,...,...,...,...,...,Yes,...,False
172,...,...,...,...,...,...,Yes,...,False
189,...,...,...,...,...,...,Yes,...,False
225,...,...,...,...,...,...,Yes,...,False
232,...,...,...,...,...,...,Yes,...,False
268,...,...,...,...,...,...,Yes,...,False
287,...,...,...,...,...,...,Yes,...,False
136,...,...,...,...,...,...,...,Yes,False
219,...,...,...,...,...,...,...,Yes,False
220,...,...,...,...,...,...,...,Yes,False
303,...,...,...,...,...,...,...,Yes,False
